ARG_Family	ARG	Primer
16S	16S	HM798937_1_1383
16S	16S	LC124582_1_1424
16S	16S	GQ927630_1_918
16S	16S	FJ680748_1_1374
16S	16S	FJ455902_1_1529
16S	16S	KY355700_1_900
16S	16S	KP308750_18552_19877
16S	16S	MH337785_1
16S	16S	AY779826_1_900
16S	16S	FR685529_1_1448
16S	16S	FJ365469_1_1342
16S	16S	JQ278775_1_1454
16S	16S	MH938429_1
16S	16S	FJ363919_1_1352
16S	16S	FJ516926_1_1472
16S	16S	JN521105_1_1285
16S	16S	KP090991_1_1467
16S	16S	FJ716960_1_1550
16S	16S	MH938447_1
16S	16S	KT381382_1_900
16S	16S	KY898052_1
16S	16S	KY898059_1
16S	16S	FPLP01012084_16_1433
16S	16S	FJ478940_1_1496
16S	16S	b0463
16S	16S	SL1344_RS02425
spike	spike	spike
aac	AAC(2')-Ia	aac_2__-Ia_1_L06156
aac	AAC(2')-Ib	aac_2__-Ib_1_U41471
aac	AAC(2')-Ic	aac_2__-Ic_1_U72714
aac	AAC(2')-Id	aac_2__-Id_1_U72743
aac	AAC(2')-Ie	aac_2__-Ie_1_NC011896
aac	AAC(2')-IIa	aac_2__-IIa_1_AB669090
aac	AAC(3)-I	aac_3_-I_1_AJ877225
aac	AAC(3)-Ia	aac_3_-Ia_1_X15852
aac	AAC(3)-Ib	aac_3_-Ib_1_L06157
aac	AAC(3)-Ib/AAC(6')-Ib''	aac_3_-Ib-aac_6__-Ib__1_AF355189
aac	AAC(3)-Ic	aac_3_-Ic_1_AJ511268
aac	AAC(3)-Id	aac_3_-Id_1_AB114632
aac	AAC(3)-If	aac_3_-If_1_AY884051
aac	AAC(3)-Ig	aac_3_-Ig_1_CP000282
aac	AAC(3)-Ih	aac_3_-Ih_1_CP000490
aac	AAC(3)-Ii	aac_3_-Ii_1_CP000356
aac	AAC(3)-IIa	aac_3_-IIa_1_CP023555
aac	AAC(3)-IIa	aac_3_-IIa_1_X51534
aac	AAC(3)-IIb	aac_3_-IIb_1_M97172
aac	AAC(3)-IIc	aac_3_-IIc_1_X54723
aac	AAC(3)-IId	aac_3_-IId_1_EU022314
aac	AAC(3)-IIe	aac_3_-IIe_1_EU022315
aac	AAC(3)-IIIa	aac_3_-IIIa_1_X55652
aac	AAC(3)-IIIb	aac_3_-IIIb_1_L06160
aac	AAC(3)-IIIc	aac_3_-IIIc_1_L06161
aac	AAC(3)-IVa	aac_3_-IVa_1_X01385
aac	AAC(3)-IXa	aac_3_-IXa_1_M55427
aac	AAC(3)-VIa	aac_3_-VIa_1_M88012
aac	AAC(3)-VIIa	aac_3_-VIIa_1_M22999
aac	AAC(3)-VIIIa	aac_3_-VIIIa_1_M55426
aac	AAC(3)-Xa	aac_3_-Xa_1_AB028210
aac	AAC(6')-29a	aac_6__-29a_1_AF263519
aac	AAC(6')-29b	aac_6__-29b_1_AF263519
aac	AAC(6')-Ib	aac_6__-30-aac_6__-Ib__1_AJ584652
aac	AAC(6')-31	aac_6__-31_1_AM283489
aac	AAC(6')-32	aac_6__-32_1_EF614235
aac	AAC(6')-33	aac_6__-33_1_GQ337064
aac	AAC(6')-APH(2'')	aac_6__-aph_2____1_KF652095
aac	AAC(6')-APH(2'')	aac_6__-aph_2____1_M13771
aac	AAC(6')-I30	aac_6__-I30_1_AY289608
aac	AAC(6')-Ia	aac_6__-Ia_1_M18967
aac	AAC(6')-Ia	aac_6__-Ia_2_M86913
aac	AAC(6')-Iaa	aac_6__-Iaa_1_NC_003197
aac	AAC(6')-Iad	aac_6__-Iad_1_AB119105
aac	AAC(6')-Iae	aac_6__-Iae_1_AB104852
aac	AAC(6')-Iaf	aac_6__-Iaf_1_AB462903
aac	AAC(6')-Iag	aac_6__-Iag_1_AB472901
aac	AAC(6')-Iai	aac_6__-Iai_1_EU886977
aac	AAC(6')-Iaj	aac_6__-Iaj_1_AB709942
aac	AAC(6')-Iak	aac_6__-Iak_1_AB894482
aac	AAC(6')-Ian	aac_6__-Ian_1_AP014611
aac	AAC(6')-Ib	aac_6__-Ib_1_M21682
aac	AAC(6')-Ib	aac_6__-Ib_2_M23634
aac	AAC(6')-Ib11	aac_6__-Ib-11_1_AY136758
aac	AAC(6')-Ib-cr	aac_6__-Ib-cr_1_DQ303918
aac	AAC(6')-Ib-cr	aac_6__-Ib-cr_2_EF636461
aac	AAC(6')-Ib-Hangzhou	aac_6__-Ib-Hangzhou_1_FJ503047
aac	AAC(6')-Ib-Suzhou	aac_6__-Ib-Suzhou_1_EU085533
aac	AAC(6')-Ib3	aac_6__-Ib3_1_X60321
aac	AAC(6')-Ic	aac_6__-Ic_1_M94066
aac	AAC(6')-If	aac_6__-If_1_X55353
aac	AAC(6')-Ig	aac_6__-Ig_1_L09246
aac	AAC(6')-Ih	aac_6__-Ih_1_L29044
aac	AAC(6')-Ih	aac_6__-Ih_2_KT778788
aac	AAC(6')-IIa	aac_6__-IIa_1_M29695
aac	AAC(6')-IIb	aac_6__-IIb_1_L06163
aac	AAC(6')-IIc	aac_6__-IIc_1_NC_012555
aac	AAC(6')-Iid	aac_6__-Iid_1_AJ584700
aac	AAC(6')-Iih	aac_6__-Iih_1_AJ584701
aac	AAC(6')-Ij	aac_6__-Ij_1_L29045
aac	AAC(6')-Ik	aac_6__-Ik_1_L29510
aac	AAC(6')-Il	aac_6__-Il_1_U13880
aac	AAC(6')-Im	aac_6__-Im_1_AF337947
aac	AAC(6')-Ip	aac_6__-Ip_1_Z54241
aac	AAC(6')-Iq	aac_6__-Iq_1_AF047556
aac	AAC(6')-Ir	aac_6__-Ir_1_AF031326
aac	AAC(6')-Is	aac_6__-Is_1_AF031327
aac	AAC(6')-Isa	aac_6__-Isa_1_AB116646
aac	AAC(6')-It	aac_6__-It_1_AF031328
aac	AAC(6')-Iu	aac_6__-Iu_1_AF031329
aac	AAC(6')-Iv	aac_6__-Iv_1_AF031330
aac	AAC(6')-Iw	aac_6__-Iw_1_AF031331
aac	AAC(6')-Ix	aac_6__-Ix_1_AF031332
aac	AAC(6')-Iz	aac_6__-Iz_1_AF140221
aac	AAC(6')-Iz	aac_6__-Iz_2_AB971834
aac	AAC(6')-Ib-cr	aac_6__Ib-cr_1_DQ303918
aac	AAC(6')-Ib-cr	aac_6__Ib-cr_2_EF636461
aac	aacA43	aacA43_1_HQ247816
aad	aadA1	aadA1_2_FJ591054
aad	aadA1	aadA1_3_JQ414041
aad	aadA1	aadA1_4_JQ480156
aad	aadA1	aadA1_5_JX185132
aad	aadA10	aadA10_1_U37105
aad	aadA10	aadA10_2_AM087405
aad	aadA11	aadA11_1_AY144590
aad	aadA11	aadA11_2_AJ567827
aad	aadA12	aadA12_1_AY665771
aad	aadA13	aadA13_1_AY713504
aad	aadA13	aadA13_2_NC010643
aad	aadA14	aadA14_1_AJ884726
aad	aadA15	aadA15_1_DQ393783
aad	aadA16	aadA16_1_EU675686
aad	aadA17	aadA17_1_FJ460181
aad	aadA1b	aadA1b_1_M95287
aad	aadA2	aadA2_1_NC010870
aad	aadA2	aadA2_1_X68227
aad	aadA2	aadA2_2_JQ364967
aad	aadA21	aadA21_1_AY171244
aad	aadA22	aadA22_1_AM261837
aad	aadA23	aadA23_1_AJ809407
aad	aadA24	aadA24_1_AM711129
aad	aadA3	aadA3_1_AF047479
aad	aadA4	aadA4_1_Z50802
aad	aadA5	aadA5_1_AF137361
aad	aadA6	aadA6_1_AF140629
aad	aadA7	aadA7_1_AF224733
aad	aadA7	aadA7_2_AB114632
aad	aadA8	aadA8_1_AF326210
aad	aadA8b	aadA8b_1_AM040708
aad	aadA9	aadA9_1_AJ420072
aad	aadD	aadD_1_AF181950
aad	aadD	aadD_2_M19465
aad	aadE-Cc	aadE-Cc_1_CP013733
aad	aadK	aadK_1_M26879
amp	ampH	ampH_1_AJ276031
amp	ampH	ampH_2_HQ586946
amp	ampS	ampS_1_X80276
ant	ANT(2'')-Ia	ant_2___-Ia_1_X04555
ant	ANT(2'')-Ia	ant_2___-Ia_10_HM367617
ant	ANT(2'')-Ia	ant_2___-Ia_11_HM367620
ant	ANT(2'')-Ia	ant_2___-Ia_12_HQ880250
ant	ANT(2'')-Ia	ant_2___-Ia_13_DQ176450
ant	ANT(2'')-Ia	ant_2___-Ia_14_DQ266447
ant	ANT(2'')-Ia	ant_2___-Ia_15_EF205594
ant	ANT(2'')-Ia	ant_2___-Ia_16_HQ386848
ant	ANT(2'')-Ia	ant_2___-Ia_17_JTTZ01000034
ant	ANT(2'')-Ia	ant_2___-Ia_18_M86913
ant	ANT(2'')-Ia	ant_2___-Ia_19_GQ466184
ant	ANT(2'')-Ia	ant_2___-Ia_2_JF826500
ant	ANT(2'')-Ia	ant_2___-Ia_20_AY139599
ant	ANT(2'')-Ia	ant_2___-Ia_3_X74412
ant	ANT(2'')-Ia	ant_2___-Ia_4_AF458082
ant	ANT(2'')-Ia	ant_2___-Ia_5_AY139594
ant	ANT(2'')-Ia	ant_2___-Ia_6_AJ871915
ant	ANT(2'')-Ia	ant_2___-Ia_7_DQ018384
ant	ANT(2'')-Ia	ant_2___-Ia_8_AY920928
ant	ANT(2'')-Ia	ant_2___-Ia_9_HM367610
ant	ANT(3'')-Ia	ant_3___-Ia_1_X02340
ant	ANT(3'')-Ih-aac_6__-IId	ant_3___-Ih-aac_6__-IId_1_AF453998
ant	ANT(4')-Ib	ant_4__-Ib_1_AJ506108
ant	ANT(4')-IIa	ant_4__-IIa_1_M98270
ant	ANT(4')-IIb	ant_4__-IIb_1_AY114142
ant	ANT(6)-Ia	ant_6_-Ia_1_AF330699
ant	ANT(6)-Ia	ant_6_-Ia_2_KF421157
ant	ANT(6)-Ia	ant_6_-Ia_3_KF864551
ant	ANT(6)-Ia	ant_6_-Ia_5_AB247327
ant	ANT(6)-Ib	ant_6_-Ib_1_FN594949
aph	APH(2'')-Ia	aph_2___-Ia_2_AP009486
aph	APH(2'')-Ia	aph_2___-Ia_3_AJ536195
aph	APH(2'')-Ib	aph_2___-Ib_1_AF337947
aph	APH(2'')-Ib	aph_2___-Ib_2_AF207840
aph	APH(2'')-Ib	aph_2___-Ib_3_KF652098
aph	APH(2'')-Ic	aph_2___-Ic_1_U51479
aph	APH(2'')-Id	aph_2___-Id_1_AF016483
aph	APH(2'')-Ie	aph_2___-Ie_1_AY743255
aph	APH(2'')-If	aph_2___-If_1_KF652097
aph	APH(2'')-If	aph_2___-If_1_KF652097
aph	APH(2'')-If	aph_2___-If_2_AY701528
aph	APH(2'')-Ig	aph_2___-Ig_1_CP004067
aph	APH(2'')-Ih	aph_2___-Ih_1_KF652096
aph	APH(2'')-Ih	aph_2___-Ih_1_KF652096
aph	APH(3'')-Ia	aph_3___-Ia_1_X53527
aph	APH(3'')-Ia	aph_3___-Ia_2_AP009493
aph	APH(3'')-Ia	aph_3___-Ia_3_M37378
aph	APH(3'')-Ib	aph_3___-Ib_1_M28829
aph	APH(3'')-Ib	aph_3___-Ib_1_M28829
aph	APH(3'')-Ib	aph_3___-Ib_2_AF024602
aph	APH(3'')-Ib	aph_3___-Ib_2_AF024602
aph	APH(3'')-Ib	aph_3___-Ib_3_AF321550
aph	APH(3'')-Ib	aph_3___-Ib_3_AF321550
aph	APH(3'')-Ib	aph_3___-Ib_4_AF313472
aph	APH(3'')-Ib	aph_3___-Ib_5_AF321551
aph	APH(3'')-Ic	aph_3___-Ic_1_DQ336355
aph	APH(3')-Ia	aph_3__-Ia_1_V00359
aph	APH(3')-Ia	aph_3__-Ia_10_EU855787
aph	APH(3')-Ia	aph_3__-Ia_2_EU287476
aph	APH(3')-Ia	aph_3__-Ia_3_EF015636
aph	APH(3')-Ia	aph_3__-Ia_4_AF498082
aph	APH(3')-Ia	aph_3__-Ia_5_AP004237
aph	APH(3')-Ia	aph_3__-Ia_6_L05392
aph	APH(3')-Ia	aph_3__-Ia_7_X62115
aph	APH(3')-Ia	aph_3__-Ia_8_Y00452
aph	APH(3')-Ia	aph_3__-Ia_9_EU722351
aph	APH(3')-Ib	aph_3__-Ib_1_M20305
aph	APH(3')-Id	aph_3__-Id_1_Z48231
aph	APH(3')-IIa	aph_3__-IIa_1_X57709
aph	APH(3')-IIa	aph_3__-IIa_2_V00618
aph	APH(3')-IIb	aph_3__-IIb_1_X90856
aph	APH(3')-IIb	aph_3__-IIb_2_CP006832
aph	APH(3')-IIc	aph_3__-IIc_1_AM743169
aph	APH(3')-III	aph_3__-III_1_M26832
aph	APH(3')-IIIa	aph_3__-IIIa_1_AF330699
aph	APH(3')-IIIa	aph_3__-IIIa_2_AJ490186
aph	APH(3')-IIIa	aph_3__-IIIa_3_AB247327
aph	APH(3')-IV	aph_3__-IV_1_X03364
aph	APH(3')-IX	aph_3__-IX_1_APPN01000061
aph	APH(3')-Va	aph_3__-Va_1_K00432
aph	APH(3')-Va	aph_3__-Va_2_AB211959
aph	APH(3')-Vb	aph_3__-Vb_1_M22126
aph	APH(3')-Vb	aph_3__-Vb_2_AJ744850
aph	APH(3')-Vc	aph_3__-Vc_1_S81599
aph	APH(3')-VI	aph_3__-VI_1_KC170992
aph	APH(3')-VI	aph_3__-VI_2_APPJ01000012
aph	APH(3')-VIa	aph_3__-VIa_1_X07753
aph	APH(3')-VIb	aph_3__-VIb_1_AJ627643
aph	APH(3')-VIIa	aph_3__-VIIa_1_M29953
aph	APH(3')-VIII	aph_3__-VIII_1_ATGI01000028
aph	APH(3')-VIj	aph_3__-VIj_1_KU922928
aph	APH(3')-XV	aph_3__-XV_1_Y18050
aph	APH(3')-XV	aph_3__-XV_2_GQ626879
aph	APH(3')-XV	aph_3__-XV_3_EU165039
aph	APH(4)-Ia	aph_4_-Ia_1_V01499
aph	APH(4)-Ib	aph_4_-Ib_1_X03615
aph	APH(6)-Ia	aph_6_-Ia_1_AY971801
aph	APH(6)-Ia	aph_6_-Ia_2_Y00459
aph	APH(6)-Ib	aph_6_-Ib_1_X05648
aph	APH(6)-Ic	aph_6_-Ic_1_X01702
aph	APH(6)-Id	aph_6_-Id_1_M28829
aph	APH(6)-Id	aph_6_-Id_1_M28829
aph	APH(6)-Id	aph_6_-Id_2_AF024602
aph	APH(6)-Id	aph_6_-Id_3_AB109805
aph	APH(6)-Id	aph_6_-Id_4_CP000971
aph	APH(6)-Id	aph_6_-Id_5_18676889
aph	APH(7'')-Ia	aph_7___-Ia_1_X03615
aph	APH(9)-Ia	aph_9_-Ia_1_U94857
aph	APH(9)-Ia	aph_9_-Ia_2_CR628337
aph	APH(9)-Ib	aph_9_-Ib_1_U70376
arm	armA	armA_1_AY220558
arr	ARR-2	ARR-2_1_HQ141279
arr	ARR-3	ARR-3_1_JF806499
arr	ARR-3	ARR-3_4_FM207631
arr	ARR-4	ARR-4_1_EF660562
arr	ARR-5	ARR-5_1_EF660563
arr	ARR-6	ARR-6_1_FM955585
arr	ARR-6	ARR-6_2_FM897214
arr	ARR-6	ARR-6_3_JF922883
arr	ARR-7	ARR-7_1_FN397623
bla	blaA	blaA_1_DQ424965
bla	blaA	blaA_2_AY954728
bla	ACC-1	blaACC-1_2_AM939420
bla	ACC-2	blaACC-2_1_AF180952
bla	ACC-3	blaACC-3_1_AF180958
bla	ACC-4	blaACC-4_1_GU256641
bla	ACI-1	blaACI-1_1_AJ007350
bla	ACT-1	blaACT-1_1_U58495
bla	ACT-10	blaACT-10_1_JN848330
bla	ACT-12	blaACT-12_1_JX440355
bla	ACT-14	blaACT-14_1_JX440354
bla	ACT-15	blaACT-15_1_JX440356
bla	ACT-16	blaACT-16_1_AB737978
bla	ACT-2	blaACT-2_1_AM076977
bla	ACT-3	blaACT-3_1_EF125013
bla	ACT-4	blaACT-4_2_AJ311172
bla	ACT-5	blaACT-5_1_FJ237369
bla	ACT-6	blaACT-6_1_FJ237366
bla	ACT-7	blaACT-7_1_FJ237368
bla	ACT-9	blaACT-9_1_HQ693810
bla	ADC-25	blaADC-25_1_EF016355
bla	AER-1	blaAER-1_1_U14748
bla	AST-1	blaAST-1_1_AF279904
bla	BlaB-10	blaB-10_1_AY348325
bla	Blab-11	blaB-11_1_AY348326
bla	Blab-12	blaB-12_1_EF595958
bla	Blab-13	blaB-13_1_EF595959
bla	Blab-14	blaB-14_1_JN635697
bla	Blab-2	blaB-2_1_AF189300
bla	Blab-3	blaB-3_1_AF189301
bla	Blab-3	blaB-3_2_AF189299
bla	Blab-5	blaB-5_1_AF189303
bla	Blab-6	blaB-6_1_AF189302
bla	Blab-7	blaB-7_1_AF189304
bla	Blab-8	blaB-8_1_AF189305
bla	Blab-9	blaB-9_1_AY348324
bla	BEL-1	blaBEL-1_1_DQ089809
bla	BEL-2	blaBEL-2_1_FJ666063
bla	BEL-3	blaBEL-3_1_GQ202694
bla	BES-1	blaBES-1_1_AF234999
bla	BIC-1	blaBIC-1_1_GQ260093
bla	BIL-1	blaBIL-1_1_X74512
bla	BKC-1	blaBKC-1_1_KP689347
bla	BRO-1	blaBRO-1_1_Z54180
bla	BRO-2	blaBRO-2_1_Z54181
bla	CARB-1	blaCARB-1_1_AF313471
bla	CARB-10	blaCARB-10_1_EU850412
bla	CARB-11	blaCARB-11_1_AY008290
bla	CARB-12	blaCARB-12_1_D13210
bla	CARB-2	blaCARB-2_1_M69058
bla	CARB-3	blaCARB-3_1_S46063
bla	CARB-4	blaCARB-4_1_U14749
bla	CARB-47	blaCARB-47_1_NG050564
bla	CARB-48	blaCARB-48_1_NG050604
bla	CARB-5	blaCARB-5_1_AF135373
bla	CARB-6	blaCARB-6_1_AF030945
bla	CARB-7	blaCARB-7_1_AF409092
bla	CARB-8	blaCARB-8_1_AY178993
bla	CARB-9	blaCARB-9_1_AY248038
bla	CEPH-A3	blaCEPH-A3_1_AY112998
bla	CFE-1	blaCFE-1_1_AB107899
bla	CGB-1	blaCGB-1_1_EF672680
bla	CKO-1	blaCKO-1_1_AF477396
bla	CME-1	blaCME-1_1_AJ006275
bla	CMG	blaCMG_1_AY265892
bla	CMH-3	blaCMH-3_1_KX192165
bla	CMY-1	blaCMY-1_1_X92508
bla	CMY-10	blaCMY-10_1_AF373218
bla	CMY-104	blaCMY-104_1_KF150216
bla	CMY-11	blaCMY-11_1_AF381626
bla	CMY-110	blaCMY-110_1_AB872957
bla	CMY-12	blaCMY-12_1_Y16785
bla	CMY-13	blaCMY-13_1_AY339625
bla	CMY-14	blaCMY-14_1_EU600193
bla	CMY-14	blaCMY-14_2_AJ555825
bla	CMY-15	blaCMY-15_1_AJ555823
bla	CMY-16	blaCMY-16_1_FM995219
bla	CMY-16	blaCMY-16_2_FJ855437
bla	CMY-17	blaCMY-17_1_AY513266
bla	CMY-18	blaCMY-18_1_AY743434
bla	CMY-19	blaCMY-19_1_AB194410
bla	CMY-2	blaCMY-2_1_X91840
bla	CMY-20	blaCMY-20_1_AY960293
bla	CMY-21	blaCMY-21_1_DQ139328
bla	CMY-22	blaCMY-22_1_DQ256079
bla	CMY-23	blaCMY-23_1_DQ438952
bla	CMY-24	blaCMY-24_1_EF415650
bla	CMY-25	blaCMY-25_1_EU515249
bla	CMY-26	blaCMY-26_1_AB300358
bla	CMY-27	blaCMY-27_1_EU515250
bla	CMY-28	blaCMY-28_1_EF561644
bla	CMY-29	blaCMY-29_1_EF685371
bla	CMY-3	blaCMY-3_1_Y16783
bla	CMY-30	blaCMY-30_1_EF685372
bla	CMY-31	blaCMY-31_1_EU331425
bla	CMY-32	blaCMY-32_1_EU496815
bla	CMY-33	blaCMY-33_1_EU496816
bla	CMY-34	blaCMY-34_1_EF394370
bla	CMY-35	blaCMY-35_1_EF394371
bla	CMY-36	blaCMY-36_1_EU331426
bla	CMY-37	blaCMY-37_1_AB280919
bla	CMY-38	blaCMY-38_1_AM931008
bla	CMY-39	blaCMY-39_1_HM565135
bla	CMY-4	blaCMY-4_1_Y15130
bla	CMY-4	blaCMY-4_2_AF420597
bla	CMY-4	blaCMY-4_3_HQ267531
bla	CMY-40	blaCMY-40_1_EU515251
bla	CMY-41	blaCMY-41_1_AB429270
bla	CMY-42	blaCMY-42_1_HM146927
bla	CMY-43	blaCMY-43_1_HQ267530
bla	CMY-44	blaCMY-44_1_FJ437066
bla	CMY-45	blaCMY-45_1_FN546177
bla	CMY-46	blaCMY-46_1_FN556186
bla	CMY-47	blaCMY-47_1_HM046998
bla	CMY-48	blaCMY-48_1_HM569226
bla	CMY-49	blaCMY-49_1_GQ402541
bla	CMY-5	blaCMY-5_1_Y17716
bla	CMY-51	blaCMY-51_1_JQ733571
bla	CMY-53	blaCMY-53_1_HQ336940
bla	CMY-54	blaCMY-54_1_HM544039
bla	CMY-55	blaCMY-55_1_HM544040
bla	CMY-56	blaCMY-56_1_HQ322613
bla	CMY-57	blaCMY-57_1_HQ285243
bla	CMY-58	blaCMY-58_1_HQ185697
bla	CMY-59	blaCMY-59_2_AB587082
bla	CMY-6	blaCMY-6_1_AJ011293
bla	CMY-60	blaCMY-60_1_JF460794
bla	CMY-61	blaCMY-61_1_JF460795
bla	CMY-62	blaCMY-62_1_JF460796
bla	CMY-63	blaCMY-63_1_HQ650104
bla	CMY-64	blaCMY-64_1_HQ832678
bla	CMY-65	blaCMY-65_1_JF780936
bla	CMY-66	blaCMY-66_1_JN714478
bla	CMY-67	blaCMY-67_1_JQ711185
bla	CMY-68	blaCMY-68_1_JN714480
bla	CMY-69	blaCMY-69_1_JX049132
bla	CMY-7	blaCMY-7_1_AY324388
bla	CMY-70	blaCMY-70_1_JX440350
bla	CMY-71	blaCMY-71_1_JQ711184
bla	CMY-72	blaCMY-72_1_JX440352
bla	CMY-73	blaCMY-73_1_GQ351345
bla	CMY-74	blaCMY-74_1_JX440349
bla	CMY-75	blaCMY-75_1_JQ733572
bla	CMY-76	blaCMY-76_1_JQ733573
bla	CMY-77	blaCMY-77_1_JX440353
bla	CMY-78	blaCMY-78_1_JQ733575
bla	CMY-79	blaCMY-79_1_JQ733576
bla	CMY-8	blaCMY-8_1_EF382672
bla	CMY-8	blaCMY-8_2_DQ094251
bla	CMY-80	blaCMY-80_1_JQ733577
bla	CMY-81	blaCMY-81_1_JQ733578
bla	CMY-83	blaCMY-83_1_JX440351
bla	CMY-84	blaCMY-84_1_JQ733579
bla	CMY-87	blaCMY-87_1_AB699171
bla	CMY-9	blaCMY-9_1_AB061794
bla	CMY-94	blaCMY-94_1_JX514368
bla	CMY-95	blaCMY-95_1_JX514369
bla	CMY-98	blaCMY-98_1_KC603538
bla	CMY-99	blaCMY-99_1_KF305673
bla	CTX-M-1	blaCTX-M-1_4_AJ416342
bla	CTX-M-1	blaCTX-M-1_6_DQ915955
bla	CTX-M-10	blaCTX-M-10_1_AY598759
bla	CTX-M-100	blaCTX-M-100_1_FR682582
bla	CTX-M-101	blaCTX-M-101_1_HQ398214
bla	CTX-M-102	blaCTX-M-102_1_HQ398215
bla	CTX-M-103	blaCTX-M-103_1_HG423149
bla	CTX-M-104	blaCTX-M-104_1_HQ833652
bla	CTX-M-105	blaCTX-M-105_1_HQ833651
bla	CTX-M-106	blaCTX-M-106_1_HQ913565
bla	CTX-M-11	blaCTX-M-11_1_AJ310929
bla	CTX-M-110	blaCTX-M-110_1_JF274242
bla	CTX-M-111	blaCTX-M-111_1_JF274243
bla	CTX-M-112	blaCTX-M-112_1_JF274246
bla	CTX-M-113	blaCTX-M-113_1_JF274247
bla	CTX-M-114	blaCTX-M-114_1_GQ351346
bla	CTX-M-116	blaCTX-M-116_1_JF966749
bla	CTX-M-117	blaCTX-M-117_1_JN227085
bla	CTX-M-12	blaCTX-M-12_1_DQ821704
bla	CTX-M-121	blaCTX-M-121_1_JN790862
bla	CTX-M-123	blaCTX-M-123_1_JN790864
bla	CTX-M-124	blaCTX-M-124_1_JQ429324
bla	CTX-M-125	blaCTX-M-125_1_JQ724542
bla	CTX-M-126	blaCTX-M-126_1_AB703103
bla	CTX-M-129	blaCTX-M-129_1_JX017364
bla	CTX-M-13	blaCTX-M-13_2_AF252623
bla	CTX-M-130	blaCTX-M-130_1_JX017365
bla	CTX-M-131	blaCTX-M-131_1_JN969893
bla	CTX-M-132	blaCTX-M-132_1_JX313020
bla	CTX-M-134	blaCTX-M-134_1_JX896165
bla	CTX-M-136	blaCTX-M-136_1_KC351754
bla	CTX-M-139	blaCTX-M-139_1_KC107824
bla	CTX-M-14	blaCTX-M-14_1_AF252622
bla	CTX-M-14	blaCTX-M-14_5_AJ416341
bla	CTX-M-142	blaCTX-M-142_1_KF240809
bla	CTX-M-147	blaCTX-M-147_1_KF513180
bla	CTX-M-14b	blaCTX-M-14b_1_DQ359215
bla	CTX-M-14b	blaCTX-M-14b_4_EU274579
bla	CTX-M-15	blaCTX-M-15_23_DQ302097
bla	CTX-M-15	blaCTX-M-15_64_FJ815288
bla	CTX-M-15	blaCTX-M-15_70_FJ815277
bla	CTX-M-16	blaCTX-M-16_1_AY029068
bla	CTX-M-17	blaCTX-M-17_1_AY033516
bla	CTX-M-17	blaCTX-M-17_2_AF454633
bla	CTX-M-19	blaCTX-M-19_1_AF325134
bla	CTX-M-2	blaCTX-M-2_1_EU622041
bla	CTX-M-20	blaCTX-M-20_1_AJ416344
